"","day","year","mo","da","temp","visib","wdsp","prcp","sndp","fog","NUM_CRIMES"
"169",5,2015,6,18,74.5,7.1,7.8,0.33,999.9,1,768
"170",6,2015,6,19,63.1,10,10.7,0.48,999.9,0,775
"171",7,2015,6,20,67.4,10,5.9,0,999.9,0,766
"172",1,2015,6,21,76.8,9.7,7.8,0.22,999.9,0,783
"173",2,2015,6,22,78.3,9.9,8.7,0,999.9,0,780
"174",3,2015,6,23,77.2,10,9,0.04,999.9,0,732
"175",4,2015,6,24,72.3,10,5,0,999.9,0,728
"176",5,2015,6,25,73.4,9,6.7,0,999.9,0,784
"177",6,2015,6,26,66.3,6.8,7.9,0.02,999.9,0,784
"178",7,2015,6,27,66.5,9.7,9.2,0.7,999.9,0,723
"179",1,2015,6,28,70,10,5,0,999.9,0,797
"180",2,2015,6,29,70.6,9.3,4.4,0.02,999.9,0,751
"181",3,2015,6,30,70.7,8.5,6.6,0.06,999.9,0,748
"182",4,2015,7,1,62.6,10,7.7,0,999.9,0,888
"183",5,2015,7,2,62.8,9.9,9.3,0,999.9,0,757
"184",6,2015,7,3,68,10,6.3,0,999.9,0,768
"185",7,2015,7,4,72.2,9.9,3.1,0,999.9,0,845
"186",1,2015,7,5,76,8,3.5,0,999.9,0,898
"187",2,2015,7,6,78.4,9.2,8.5,0,999.9,0,757
"188",3,2015,7,7,69,8.3,12.3,0.76,999.9,0,701
"189",4,2015,7,8,62.5,10,7.2,0.05,999.9,0,718
"190",5,2015,7,9,66.3,5.9,7.2,0.04,999.9,0,671
"191",6,2015,7,10,71.5,9,4.3,0,999.9,0,739
"192",7,2015,7,11,73.7,10,3.7,0,999.9,0,798
"193",1,2015,7,12,75,8.5,5.9,0.09,999.9,0,801
"194",2,2015,7,13,78,10,9.1,0.06,999.9,0,782
"195",3,2015,7,14,78,10,9.3,0.66,999.9,0,711
"196",4,2015,7,15,68.2,10,10,0,999.9,0,795
"197",5,2015,7,16,69.4,9.6,6.9,0,999.9,0,673
"198",6,2015,7,17,80,8.4,7.8,0.52,999.9,0,825
"199",7,2015,7,18,82.5,10,8,0.03,999.9,0,776
"200",1,2015,7,19,82.1,10,7,0.03,999.9,0,764
"201",2,2015,7,20,77.6,10,5.8,0,999.9,0,778
"202",3,2015,7,21,77.1,10,7.4,0,999.9,0,776
"203",4,2015,7,22,75.9,10,4.1,0,999.9,0,774
