"","day","temp","visib","wdsp","prcp","sndp","fog","NUM_CRIMES"
"39",1,38.5,7.1,7.8,0,5.1,0,615
"40",2,29.3,6.9,13.4,0,3.9,0,607
"41",3,28.4,9.6,7.1,0,3.9,0,629
"42",4,32.6,8.9,10,0,3.1,0,606
"43",5,18.3,9.4,13.8,0,3.1,0,611
"44",6,14.5,10,8.4,0,3.1,0,632
"45",7,21.1,9.2,15.9,0,3.1,0,597
"46",1,7.3,7.6,9.4,0,3.1,0,552
"47",2,12.8,10,4.2,0,3.1,0,537
"48",3,18.2,8.7,9.1,0,3.1,0,597
"49",4,9.6,9.9,12.8,0,3.1,0,511
"50",5,1.3,9.7,11.9,0,3.1,0,463
"51",6,7,9.3,8.8,0,3.1,0,651
"52",7,23.4,9.3,6.3,0,3.1,0,652
"53",1,24.3,9,8.7,0,3.1,0,593
"54",2,7.7,10,9.8,0,3.1,0,572
"55",3,13.9,10,12.6,0,3.1,0,628
"56",4,24.1,8.9,7.9,0,3.1,0,571
"57",5,20.2,3.1,11.5,0.06,7.1,1,517
"58",6,10,10,6.7,0,5.9,0,638
"59",7,11,10,4.6,0,5.9,0,545
"60",1,22,7.3,5.1,0,5.9,0,756
"61",2,23.8,10,6.6,0.01,5.1,0,658
"62",3,30.7,6.5,10.6,0.04,3.9,0,636
"63",4,26.6,10,10.4,0.06,3.9,0,562
"64",5,15.2,10,8.9,0,3.9,0,612
"65",6,14.7,10,10.4,0,3.9,0,712
"66",7,34.1,10,10.6,0,2,0,697
"67",1,37.1,10,6.7,0,1.2,0,625
"68",2,40,10,4.7,0,1.2,0,726
"69",3,43.9,4.6,6.2,0,999.9,1,753
"70",4,44.7,6.5,6.5,0,999.9,1,746
"71",5,44.9,10,6.5,0,999.9,0,751
"72",6,50.6,10,6.3,0,999.9,0,814
"73",7,52.5,9.7,8.2,0,999.9,0,798
"74",1,47.6,10,6.7,0,999.9,0,778
"75",2,61.3,10,11.7,0,999.9,0,779
"76",3,44.1,10,15,0,999.9,0,692
"77",4,38.8,10,4.3,0,999.9,0,690
"78",5,44.4,10,7.4,0,999.9,0,717
"79",6,44,9.3,7.8,0,999.9,0,775
"80",7,43,8.1,11.4,0,999.9,0,689
"81",1,34.8,9.8,10,0,999.9,0,656
"82",2,31.4,6.6,11.5,0.07,3.1,1,592
"83",3,32.4,9.9,9.1,0.08,2,0,639
"84",4,40.7,7,11,0.17,999.9,0,723
"85",5,39.7,9.7,8.1,0.13,999.9,0,684
"86",6,30.8,8.3,12.1,0.01,1.2,0,725
"87",7,29.2,10,6.2,0,999.9,0,657
"88",1,34.9,10,12.4,0,999.9,0,619
"89",2,49.1,10,9,0.04,999.9,0,719
"90",3,50.1,9.2,9.4,0,999.9,0,693
"91",4,55.9,10,8.5,0,999.9,0,927
"92",5,60.6,9.5,11,0.02,999.9,0,794
"93",6,52,10,8.9,0.25,999.9,0,710
"94",7,42.9,10,10.7,0,999.9,0,694
"95",1,56.3,10,10.3,0,999.9,0,673
"96",2,55,10,6.3,0,999.9,0,676
"97",3,43.6,5.1,10.5,0.11,999.9,0,603
"98",4,47.2,3.2,7.6,0.04,999.9,1,679
"99",5,54.6,4.3,9.1,0.21,999.9,0,648
"100",6,54.5,9.8,19.2,0.82,999.9,0,714
"101",7,50.5,10,7.2,0,999.9,0,720
"102",1,58.8,10,8,0,999.9,0,773
"103",2,63.3,9.8,10.5,0.11,999.9,0,735
"104",3,58.2,10,5.1,0.03,999.9,0,767
"105",4,56,10,9.6,0,999.9,0,798
"106",5,54.8,8.8,7.1,0.34,999.9,0,686
"107",6,62.4,9.1,3.8,0,999.9,0,785
"108",7,62.3,10,7.4,0,999.9,0,769
"109",1,57.5,9.4,8.7,0,999.9,0,703
"110",2,50.8,7,14.1,0.42,999.9,0,743
"111",3,47.6,10,16.2,0,999.9,0,663
"112",4,42.2,9.9,12.7,0,999.9,0,682
"113",5,44.5,10,7.9,0,999.9,0,731
"114",6,47.5,10,4.3,0,999.9,0,761
"115",7,45.9,8.8,13.1,0.29,999.9,0,695
"116",1,47.1,10,10.7,0.34,999.9,0,718
"117",2,49.1,10,11.9,0,999.9,0,721
"118",3,49.1,10,5.4,0,999.9,0,718
"119",4,52.3,10,5.2,0,999.9,0,766
"120",5,48,10,12.1,0,999.9,0,666
"121",6,52.2,10,5.5,0,999.9,0,951
"122",7,64.9,10,5.8,0,999.9,0,686
"123",1,70.1,10,8.5,0,999.9,0,745
"124",2,67.8,10,8.4,0.2,999.9,0,779
"125",3,56.1,5.8,7.2,0.78,999.9,0,696
"126",4,60.1,3.6,5.4,0.01,999.9,1,739
"127",5,71.2,9.9,7.8,0,999.9,0,826
"128",6,73.9,9.9,7.8,0,999.9,0,807
"129",7,60.4,6.3,7.2,0.59,999.9,0,685
"130",1,50.3,5.7,7.7,0.18,999.9,0,741
"131",2,59.9,8.7,9.4,0.05,999.9,0,748
"132",3,54.2,10,15.3,0.14,999.9,0,757
"133",4,49.6,10,9.3,0,999.9,0,767
"134",5,55.3,10,8.7,0,999.9,0,755
"135",6,67.6,9.7,9.8,0.16,999.9,0,822
"136",7,72.9,10,6,0.03,999.9,0,882
"137",1,74.9,8.3,11.3,0,999.9,0,836
"138",2,74.6,10,12.9,0,999.9,0,758
"139",3,51.4,10,10.5,0,999.9,0,707
"140",4,46.2,10,9.1,0,999.9,0,729
"141",5,54.7,10,7.3,0.02,999.9,0,745
"142",6,60.5,10,7.5,0,999.9,0,824
"143",7,65.7,10,6.7,0,999.9,0,798
"144",1,68.8,9.7,5.4,0.01,999.9,0,687
"145",2,74.3,9.8,12.8,0.43,999.9,0,708
"146",3,73.3,9.4,10.9,0.06,999.9,0,771
"147",4,70.9,9.8,11.7,0.42,999.9,0,737
"148",5,72,10,5.3,0.06,999.9,0,800
"149",6,75.7,9.6,8.7,0,999.9,0,828
"150",7,66,7.7,10.3,0.23,999.9,0,719
"151",1,48.7,6.4,15.6,0.77,999.9,0,666
"152",2,53.5,10,9.2,0.02,999.9,0,954
"153",3,58,10,4.6,0,999.9,0,772
"154",4,65.3,10,6,0,999.9,0,777
"155",5,71,10,7.2,0,999.9,0,721
"156",6,66.8,9.3,11,0,999.9,0,786
"157",7,62.4,9.9,9.6,0,999.9,0,758
"158",1,68.2,9.3,9.3,0,999.9,0,739
"159",2,74.9,9.7,11.3,0.44,999.9,0,681
"160",3,72,9.7,5.9,0.1,999.9,0,731
"161",4,81.7,10,11.5,0.08,999.9,0,793
"162",5,72.1,9.7,6.2,0.01,999.9,0,802
"163",6,65.9,4.1,6.1,0.28,999.9,0,827
"164",7,69.7,6.4,5.8,0.09,999.9,1,813
"165",1,75.9,8.5,7.2,1.44,999.9,0,794
"166",2,76.4,9,6.7,1.54,999.9,1,739
"167",3,70.4,8.6,8.5,1.75,999.9,0,847
"168",4,63.5,8.7,4,0,999.9,0,722
"169",5,74.5,7.1,7.8,0.33,999.9,1,768
"170",6,63.1,10,10.7,0.48,999.9,0,775
"171",7,67.4,10,5.9,0,999.9,0,766
"172",1,76.8,9.7,7.8,0.22,999.9,0,783
"173",2,78.3,9.9,8.7,0,999.9,0,780
"174",3,77.2,10,9,0.04,999.9,0,732
"175",4,72.3,10,5,0,999.9,0,728
"176",5,73.4,9,6.7,0,999.9,0,784
"177",6,66.3,6.8,7.9,0.02,999.9,0,784
"178",7,66.5,9.7,9.2,0.7,999.9,0,723
"179",1,70,10,5,0,999.9,0,797
"180",2,70.6,9.3,4.4,0.02,999.9,0,751
"181",3,70.7,8.5,6.6,0.06,999.9,0,748
"182",4,62.6,10,7.7,0,999.9,0,888
"183",5,62.8,9.9,9.3,0,999.9,0,757
"184",6,68,10,6.3,0,999.9,0,768
"185",7,72.2,9.9,3.1,0,999.9,0,845
"186",1,76,8,3.5,0,999.9,0,898
"187",2,78.4,9.2,8.5,0,999.9,0,757
"188",3,69,8.3,12.3,0.76,999.9,0,701
"189",4,62.5,10,7.2,0.05,999.9,0,718
"190",5,66.3,5.9,7.2,0.04,999.9,0,671
"191",6,71.5,9,4.3,0,999.9,0,739
"192",7,73.7,10,3.7,0,999.9,0,798
"193",1,75,8.5,5.9,0.09,999.9,0,801
"194",2,78,10,9.1,0.06,999.9,0,782
"195",3,78,10,9.3,0.66,999.9,0,711
"196",4,68.2,10,10,0,999.9,0,795
"197",5,69.4,9.6,6.9,0,999.9,0,673
"198",6,80,8.4,7.8,0.52,999.9,0,825
"199",7,82.5,10,8,0.03,999.9,0,776
"200",1,82.1,10,7,0.03,999.9,0,764
"201",2,77.6,10,5.8,0,999.9,0,778
"202",3,77.1,10,7.4,0,999.9,0,776
"203",4,75.9,10,4.1,0,999.9,0,774
"204",5,77.7,10,4.1,0,999.9,0,810
"205",6,79.2,10,6,0,999.9,0,867
"206",7,80.8,10,8.2,0,999.9,0,831
"207",1,77.4,10,4.7,0,999.9,0,802
"208",2,80.3,9.5,6.8,0,999.9,0,835
"209",3,82.9,10,6.8,0,999.9,0,767
"210",4,83.3,9.5,8,0.07,999.9,0,763
"211",5,80,10,9.5,0,999.9,0,775
"212",6,80.7,10,9.9,0,999.9,0,781
"213",7,78.2,10,8,0,999.9,0,1044
"214",1,82.5,10,12.6,0,999.9,0,821
"215",2,77.8,9.8,9.5,1.06,999.9,0,729
"216",3,75,10,6.1,0,999.9,0,761
"217",4,75.6,10,5.1,0,999.9,0,772
"218",5,76.2,10,7.9,0,999.9,0,809
"219",6,76.4,10,7.5,0,999.9,0,839
"220",7,78.1,10,6.5,0,999.9,0,849
"221",1,74.6,7.2,4.3,0,999.9,0,745
"222",2,77.8,8.8,4.8,0,999.9,0,808
"223",3,75,10,6.9,0.25,999.9,0,790
"224",4,72.7,10,4.4,0,999.9,0,760
"225",5,75.6,10,7.8,0,999.9,0,784
"226",6,79.4,10,8.3,0,999.9,0,808
"227",7,78,9.8,6.2,0.29,999.9,0,824
"228",1,80.7,10,7.1,0.05,999.9,0,865
"229",2,81.2,10,6.9,0,999.9,0,741
"230",3,75.8,8.5,7.1,0.7,999.9,0,762
"231",4,73.9,9.7,12.2,0.94,999.9,0,792
"232",5,67.2,10,14,0,999.9,0,838
"233",6,71.7,10,7.4,0,999.9,0,858
"234",7,75.3,10,7.8,0,999.9,0,845
"235",1,74.1,9.6,9.9,0,999.9,0,806
"236",2,67.4,10,11.4,0.09,999.9,0,724
"237",3,65.4,10,8.6,0,999.9,0,767
"238",4,64.2,10,5.3,0,999.9,0,792
"239",5,65.5,9.9,3.8,0,999.9,0,764
"240",6,68.8,9.9,4.9,0,999.9,0,806
"241",7,70.8,9.3,5.6,0.22,999.9,0,760
"242",1,71,5.7,4.3,0.15,999.9,0,800
"243",2,74.8,7,2.3,0,999.9,0,745
"244",3,80.8,9.6,6.6,0,999.9,0,953
"245",4,82.2,9.8,7.6,0,999.9,0,801
"246",5,83.9,10,7.5,0,999.9,0,875
"247",6,76.9,9.8,6.1,0,999.9,0,815
"248",7,76.9,9.9,6.2,0,999.9,0,765
"249",1,82.8,10,6.9,0.02,999.9,0,818
"250",2,83.6,10,7.5,0,999.9,0,808
"251",3,80,9.4,8,0,999.9,1,717
"252",4,72.4,9.8,6.2,1.01,999.9,0,711
"253",5,66.6,10,4.5,0,999.9,0,658
"254",6,63.4,9.7,7.2,0.22,999.9,0,691
"255",7,59.2,9.8,10.5,0.24,999.9,0,724
"256",1,60.3,10,6.8,0.13,999.9,0,734
"257",2,67.4,10,9.3,0,999.9,0,790
"258",3,73.7,10,10.2,0,999.9,0,811
"259",4,73.5,10,8.6,0,999.9,0,766
"260",5,75,10,9.3,0,999.9,0,717
"261",6,74.2,7.7,8.8,0.26,999.9,0,791
"262",7,66.8,8.7,9.6,1.7,999.9,0,792
"263",1,62.4,10,3.2,0.04,999.9,0,811
"264",2,64.5,10,5.6,0,999.9,0,735
"265",3,67.8,10,4.8,0,999.9,0,776
"266",4,70.6,10,4.6,0,999.9,0,833
"267",5,69.7,10,6,0,999.9,0,716
"268",6,69.6,10,7.1,0,999.9,0,810
"269",7,69.2,10,7.6,0,999.9,0,792
"270",1,70.1,10,6.5,0,999.9,0,801
"271",2,72.4,10,5.2,0,999.9,0,753
"272",3,67.6,9.8,9.3,0,999.9,0,669
"273",4,59.2,10,15.2,0,999.9,0,678
"274",5,57.4,10,16.8,0,999.9,0,887
"275",6,56.6,10,19.1,0,999.9,0,799
"276",7,52.9,9.6,17.7,0.02,999.9,0,708
"277",1,53.4,10,13,0.02,999.9,0,653
"278",2,58.4,7.4,7.4,0,999.9,0,755
"279",3,60.8,6.7,5.7,0,999.9,0,752
"280",4,62.3,8.5,5.5,0,999.9,0,718
"281",5,64.5,10,7.7,0,999.9,0,701
"282",6,62,9.9,10.9,0,999.9,0,795
"283",7,55.6,10,5,0,999.9,0,728
"284",1,63.3,10,9.8,0,999.9,0,735
"285",2,68.2,10,12.6,0,999.9,0,730
"286",3,57.5,10,10.7,0,999.9,0,741
"287",4,54.4,10,6.6,0,999.9,0,764
"288",5,57.3,10,9.5,0,999.9,0,816
"289",6,51.1,10,8.8,0,999.9,0,734
"290",7,44.8,10,8.5,0,999.9,0,706
"291",1,46.8,10,2.8,0,999.9,0,675
"292",2,57.7,10,13.2,0,999.9,0,788
"293",3,65,10,11.5,0,999.9,0,785
"294",4,66.2,10,10.1,0.09,999.9,0,794
"295",5,61.2,10,7.5,0,999.9,0,773
"296",6,57.4,9.9,9.7,0,999.9,0,777
"297",7,63.8,9,11.9,0.04,999.9,0,765
"298",1,52.8,10,6.1,0.12,999.9,0,728
"299",2,52.2,10,4.8,0,999.9,0,781
"300",3,54.7,9.7,9.6,0,999.9,0,651
"301",4,53.8,4.8,11.9,0.48,999.9,0,682
"302",5,42.2,10,15.2,0.06,999.9,0,669
"303",6,46.9,10,4.5,0,999.9,0,776
"304",7,48.8,7.1,8.8,0,999.9,0,721
"305",1,54.7,9.6,10.9,0.74,999.9,0,992
"306",2,60.3,10,8.9,0,999.9,0,785
"307",3,61,10,5.7,0,999.9,0,749
"308",4,60.3,7,5.2,0,999.9,1,791
"309",5,65.6,9.4,10.1,0,999.9,0,754
"310",6,55.8,8.8,14.1,0.47,999.9,0,747
"311",7,46.4,10,8.3,0,999.9,0,691
"312",1,44,10,3.6,0,999.9,0,705
"313",2,46.1,10,3.4,0,999.9,0,684
"314",3,48.9,10,3.5,0,999.9,0,640
"315",4,51.7,10,8.1,0,999.9,0,686
"316",5,49.7,8.4,19.9,0.74,999.9,0,693
"317",6,43.3,10,16.4,0.01,999.9,0,679
"318",7,42.3,10,7,0,999.9,0,696
"319",1,54.1,10,8.3,0,999.9,0,722
"320",2,53.1,10,8.8,0,999.9,0,744
"321",3,53.1,7.9,12,0.03,999.9,0,667
"322",4,60.1,9.1,17,0.44,999.9,0,683
"323",5,46,10,15.8,0.12,999.9,0,696
"324",6,38.2,10,10.5,0,999.9,0,713
"325",7,33.6,2.8,10.3,0.3,3.9,1,528
"326",1,21.4,10,7.4,0.37,3.1,0,520
"327",2,31,10,8.8,0,2,0,650
"328",3,34.7,9.5,4,0,1.2,0,607
"329",4,44.7,10,9.3,0,1.2,0,620
"330",5,55,8.1,12.9,0.26,999.9,0,589
"331",6,47.6,5.5,13.8,1.02,999.9,0,613
"332",7,39,10,12.3,0.09,999.9,0,658
"333",1,36.8,10,6.9,0,999.9,0,612
"334",2,42.1,9.8,10.1,0,999.9,0,666
"335",3,43.5,6.6,9.6,0.3,999.9,0,794
"336",4,36.5,6.9,7.5,0.03,999.9,1,716
"337",5,34.2,8.7,8.4,0.1,999.9,0,710
"338",6,38.3,6,8.9,0,999.9,0,700
"339",7,36.3,5.1,7.1,0,999.9,1,707
"340",1,38.7,8.8,5.2,0,999.9,0,687
"341",2,37.2,4.5,4.4,0,999.9,1,689
"342",3,41.9,5.7,9.4,0,999.9,0,733
"343",4,48.2,8.7,7.8,0,999.9,0,685
"344",5,50,10,12.2,0,999.9,0,690
"345",6,49.1,10,8.3,0,999.9,0,742
"346",7,55.3,4.7,4.2,0,999.9,0,752
"347",1,59.7,6.2,8,0.05,999.9,0,650
"348",2,56.5,8.9,14.6,0.95,999.9,0,739
"349",3,43.2,9.9,8,0.15,999.9,0,793
"350",4,45.1,9,11.9,0,999.9,0,722
"351",5,34.9,10,14.7,0.09,999.9,0,727
"352",6,29.8,10,11,0,999.9,0,653
"353",7,25.3,9.7,10.7,0,999.9,0,666
"354",1,37.8,10,10.9,0,999.9,0,693
"355",2,47.8,8.5,12.8,0.03,999.9,0,649
"356",3,41.6,5.3,6.9,0.3,999.9,0,694
"357",4,50.6,4,10.7,0.01,999.9,1,753
"358",5,43.2,10,14.3,0.84,999.9,0,675
"359",6,41.2,9.9,6.4,0,999.9,0,498
"360",7,41.6,7.9,9.6,0,999.9,0,640
"361",1,41.2,7,14.5,0.39,999.9,0,627
"362",2,35.4,6.8,19.4,0.01,999.9,0,516
"363",3,35.5,8.1,12.9,1.82,999.9,0,624
"364",4,30.3,8.5,6.9,0,3.9,1,603
"365",5,28.5,9,8.4,0,3.1,0,610
"366",6,25.3,9.5,13,0,2,0,1153
"367",7,28.6,10,9.2,0,2,0,576
"368",1,28.8,10,10.9,0,2,0,618
"369",2,28.5,9.8,10.5,0,2,0,626
"370",3,27.5,10,8.3,0,1.2,0,627
"371",4,31.1,10,7,0,1.2,0,626
"372",5,38.6,10,6.3,0,1.2,0,706
"373",6,41.9,6.5,5.8,0,1.2,0,742
"374",7,40.5,3,6.2,0.18,999.9,1,650
"375",1,20.6,8.7,15.6,0.27,1.2,0,597
"376",2,8.3,8.7,9.8,0,1.2,0,513
"377",3,16.2,6.2,14.3,0.06,2,0,548
"378",4,9,9.9,8.2,0,2,0,654
"379",5,33.9,10,8.6,0,1.2,0,734
"380",6,41.1,9,10.8,0,999.9,0,733
"381",7,30.4,9.3,11.2,0.02,999.9,0,651
"382",1,9.6,10,13.6,0,999.9,0,537
"383",2,2.8,10,11.5,0,999.9,0,515
"384",3,8.1,10,6.4,0,999.9,0,610
"385",4,18.8,8,2.9,0.03,1.2,0,619
"386",5,21.3,9.6,2.7,0,1.2,0,634
"387",6,27.3,7.4,7.6,0,1.2,0,701
"388",7,30,9.7,6.5,0.01,1.2,0,722
"389",1,29.1,10,7.5,0,999.9,0,675
"390",2,34.3,8.9,7.2,0,999.9,0,744
"391",3,33.5,7.3,14.3,0.06,999.9,0,640
"392",4,29.1,10,9.8,0,999.9,0,669
"393",5,35.7,9.9,13.4,0,999.9,0,751
"394",6,30.5,10,9,0,999.9,0,746
"395",7,39.9,10,8.9,0,999.9,0,742
"396",1,44.6,8.1,7.6,0,999.9,0,665
"397",2,37.1,9.5,5.4,0.02,999.9,0,852
"398",3,37.1,5.6,9.2,0,999.9,0,614
"399",4,37.3,5.3,9.8,0.74,999.9,1,682
"400",5,28.1,9.8,10,0,999.9,0,670
"401",6,30.5,9.5,6.3,0,999.9,0,660
"402",7,32.3,9.2,7.3,0,999.9,0,695
"403",1,39.8,10,10.1,0,999.9,0,617
"404",2,32.4,9.9,8.9,0,999.9,0,570
"405",3,20.4,5.8,11,0,1.2,0,545
"406",4,15.2,9.6,11.1,0,1.2,0,565
"407",5,15.4,10,7.1,0,1.2,0,582
"408",6,21,9.8,10.4,0,999.9,0,646
"409",7,11.5,10,11.8,0,999.9,0,597
"410",1,15.8,7.7,8.8,0,1.2,0,514
"411",2,22.5,4,6.9,0.01,1.2,0,553
"412",3,29.2,5.8,3.6,0,1.2,0,625
"413",4,30.8,7.7,5.9,0.03,1.2,0,641
"414",5,32.5,9.9,9.5,0,999.9,0,681
"415",6,50.2,10,20.9,0,999.9,0,775
"416",7,51.2,10,11.8,0,999.9,0,702
"417",1,41.5,10,9.3,0,999.9,0,706
"418",2,36.7,10,4.2,0,999.9,0,639
"419",3,37.9,9.6,6.1,0,999.9,0,630
"420",4,36.4,7,19.9,0,2,1,578
"421",5,34.4,6.8,16.2,0.04,1.2,0,699
"422",6,32.7,10,10.1,0,999.9,0,740
"423",7,38.1,10,10.6,0,999.9,0,691
"424",1,52.2,10,14.4,0,999.9,0,624
"425",2,42.1,10,14.6,0.05,999.9,0,646
"426",3,29.8,7.8,16.2,0.05,999.9,1,817
"427",4,23.2,10,7.2,0.01,999.9,0,607
"428",5,31.2,4.8,6.9,0.04,1.2,0,616
"429",6,31.9,9.8,7.2,0.01,1.2,0,702
"430",7,34.6,6.4,8,0.03,1.2,0,699
"431",1,40.8,9.6,8.9,0,999.9,0,714
"432",2,52.6,10,11.1,0,999.9,0,794
"433",3,63.2,10,12.2,0,999.9,0,723
"434",4,62.1,9.7,9.4,0.06,999.9,0,679
"435",5,50.1,9.9,7.9,0,999.9,0,716
"436",6,44.1,10,5.4,0,999.9,0,733
"437",7,46.1,6.8,4.3,0,999.9,0,746
"438",1,48,5.7,7.5,0.07,999.9,0,628
"439",2,46.3,6,4.7,0.79,999.9,0,684
"440",3,52.1,6.6,7.4,0.11,999.9,0,713
"441",4,54.7,9.3,19.8,0.22,999.9,0,745
"442",5,50,10,14.1,0.13,999.9,0,738
"443",6,42.9,10,9.1,0,999.9,0,791
"444",7,39.5,10,7.3,0,999.9,0,699
"445",1,38.8,10,9.4,0,999.9,0,685
"446",2,40.1,10,4.8,0,999.9,0,699
"447",3,52.1,10,11.9,0,999.9,0,722
"448",4,45.7,7.6,11,0,999.9,0,686
"449",5,38.7,3.5,9.4,0.17,999.9,1,677
"450",6,35.8,10,8.5,1,999.9,0,716
"451",7,42.7,10,6.5,0,999.9,0,735
"452",1,50.2,9.6,7.2,0,999.9,0,631
"453",2,46.2,10,9.7,0.17,999.9,0,741
"454",3,45.9,10,3.7,0,999.9,0,739
"455",4,51.4,9.6,11.2,0,999.9,0,716
"456",5,60.9,8.8,15.2,0.39,999.9,0,754
"457",6,45.1,9.8,8.1,0.05,999.9,0,826
"458",7,36.8,8,16.1,0.1,999.9,0,651
"459",1,43.1,10,12,0.01,999.9,0,706
"460",2,40.4,8.9,16,0,999.9,0,660
"461",3,36.1,10,8.5,0,999.9,0,675
"462",4,46.3,8.4,10.6,0.08,999.9,0,660
"463",5,41.3,8.4,11.9,0.38,999.9,0,742
"464",6,38.9,9.6,10.3,0.01,999.9,0,626
"465",7,31.1,9.4,12.2,0.08,1.2,0,689
"466",1,39.1,8.9,11.8,0.01,999.9,0,704
"467",2,49.3,7.9,9.7,0.12,999.9,0,676
"468",3,41.4,10,7.6,0,999.9,0,701
"469",4,44.7,10,7.3,0,999.9,0,714
"470",5,50.2,10,7.7,0,999.9,0,690
"471",6,55.2,10,7.3,0,999.9,0,811
"472",7,61,10,6,0,999.9,0,734
"473",1,64.7,10,6.1,0,999.9,0,708
"474",2,68.2,10,4.8,0,999.9,0,738
"475",3,55.9,10,8.7,0,999.9,0,703
"476",4,61.5,10,9.2,0,999.9,0,689
"477",5,62.8,7.1,6.4,0.35,999.9,0,714
"478",6,52.2,8.9,10.5,0.02,999.9,0,729
"479",7,49.4,10,7.2,0,999.9,0,693
"480",1,59.6,10,7,0,999.9,0,755
"481",2,72.6,10,12,0,999.9,0,758
"482",3,54.5,8,11.8,0.01,999.9,0,693
"483",4,46.4,9.2,14.1,0,999.9,0,661
"484",5,47.7,7.4,9.8,0.63,999.9,0,731
"485",6,46.7,6.3,7.9,0.05,999.9,0,719
"486",7,46.6,7,11.6,0,999.9,0,605
"487",1,46.9,4.3,10.6,0.71,999.9,0,819
"488",2,49.8,9.3,12.7,0.38,999.9,0,757
"489",3,55,10,5.4,0,999.9,0,737
"490",4,52.2,9,11.9,0.4,999.9,0,682
"491",5,49.5,10,12.6,0,999.9,0,697
"492",6,61.6,10,5.4,0,999.9,0,794
"493",7,65.1,10,12.2,0,999.9,0,742
"494",1,57.2,10,4,0,999.9,0,729
"495",2,57.2,9.5,9.2,0,999.9,0,731
"496",3,57.4,3.1,9.7,0.58,999.9,0,713
"497",4,60.4,3.2,5.4,0.35,999.9,1,758
"498",5,63.4,7.4,8.4,0.02,999.9,0,690
"499",6,59.3,10,9.8,1.03,999.9,0,808
"500",7,47.7,8.8,12.5,0.66,999.9,0,723
"501",1,47.3,10,8.7,0,999.9,0,739
"502",2,57.1,10,10.2,0,999.9,0,782
"503",3,55.4,10,8.4,0,999.9,0,692
"504",4,54.2,10,6.4,0.01,999.9,0,800
"505",5,57.5,10,4.2,0,999.9,0,764
"506",6,60.8,10,6.1,0,999.9,0,804
"507",7,64.5,10,8.4,0,999.9,0,792
"508",1,67.2,10,5.4,0,999.9,0,750
"509",2,68.5,10,5.7,0,999.9,0,782
"510",3,75.7,10,8.7,0,999.9,0,803
"511",4,77.9,9.2,9.4,0,999.9,1,720
"512",5,73.2,9.4,8.6,1.02,999.9,0,765
"513",6,76.1,10,8.7,0,999.9,0,800
"514",7,75.1,9.6,12.8,0.14,999.9,0,791
"515",1,74.9,10,10.7,0,999.9,0,798
"516",2,75.9,10,6.1,0,999.9,0,820
"517",3,73.4,9.5,7.9,0,999.9,0,756
"518",4,69.9,8,6,1.09,999.9,0,935
"519",5,72.6,10,6.5,0.18,999.9,0,800
"520",6,72.7,10,5.3,0,999.9,0,822
"521",7,72.1,9.7,7.2,0,999.9,0,827
"522",1,70.5,10,9.9,0.03,999.9,0,777
"523",2,73,9.8,10.2,0.18,999.9,0,792
"524",3,64,10,9.6,0,999.9,0,754
"525",4,61.5,10,6.9,0,999.9,0,744
"526",5,63.9,10,6.4,0,999.9,0,725
"527",6,77.2,10,8.5,0.06,999.9,0,765
"528",7,85.2,10,9.4,0,999.9,0,815
"529",1,72.8,10,10.9,0,999.9,0,850
"530",2,71.1,10,5.7,0,999.9,0,794
"531",3,77.2,10,7.3,0,999.9,0,835
